age,gender,country,highest_deg,code_experience,current_title,industry,company_size,annual_comp
22-24,Man,India,Master’s degree,5-10 years,Software Engineer,Medical/Pharmaceutical,"10,000 or more employees","15,000-19,999"
18-21,Man,India,Bachelor’s degree,1-3 years,,,,
22-24,Man,Turkey,Bachelor’s degree,3-5 years,,,,
18-21,Man,India,No formal education past high school,1-3 years,,,,
22-24,Man,Pakistan,I prefer not to answer,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,0-49 employees,"3,000-3,999"
25-29,Man,Indonesia,Master’s degree,< 1 years,,,,
35-39,Man,United States of America,Master’s degree,10-20 years,,,,
30-34,Woman,Pakistan,Professional doctorate,5-10 years,Data Scientist,Other,50-249 employees,
25-29,Man,South Korea,Master’s degree,1-3 years,,,,
22-24,Man,Pakistan,Master’s degree,I have never written code,,,,
40-44,Man,Viet Nam,Doctoral degree,10-20 years,,,,
25-29,Man,India,Bachelor’s degree,1-3 years,,,,
50-54,Man,Israel,Master’s degree,10-20 years,Data Scientist,Insurance/Risk Assessment,0-49 employees,
18-21,Man,Viet Nam,Some college/university study without earning a bachelor’s degree,< 1 years,,,,
30-34,Man,India,Doctoral degree,< 1 years,,,,
35-39,Man,India,Master’s degree,5-10 years,Data Scientist,Other,0-49 employees,
30-34,Man,India,Master’s degree,5-10 years,Data Scientist,Computers/Technology,0-49 employees,$0-999
22-24,Man,India,Master’s degree,< 1 years,,,,
18-21,Man,India,Bachelor’s degree,< 1 years,,,,
25-29,Man,Chile,I prefer not to answer,5-10 years,,,,
22-24,Man,India,Bachelor’s degree,3-5 years,,,,
40-44,Woman,Canada,Master’s degree,10-20 years,Software Engineer,Medical/Pharmaceutical,"1000-9,999 employees","90,000-99,999"
18-21,Nonbinary,China,Bachelor’s degree,1-3 years,,,,
22-24,Man,Mexico,Bachelor’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Manufacturing/Fabrication,"10,000 or more employees",$0-999
30-34,Man,South Korea,Doctoral degree,3-5 years,,,,
30-34,Man,Japan,Master’s degree,3-5 years,Data Scientist,Insurance/Risk Assessment,"1000-9,999 employees","4,000-4,999"
35-39,Woman,India,,,,,,
22-24,Man,Other,I prefer not to answer,< 1 years,Research Scientist,Online Service/Internet-based Services,"1000-9,999 employees","3,000-3,999"
30-34,Man,United States of America,Doctoral degree,5-10 years,,,,
45-49,Man,Australia,Doctoral degree,3-5 years,Data Scientist,Computers/Technology,50-249 employees,"125,000-149,999"
18-21,Man,India,Some college/university study without earning a bachelor’s degree,I have never written code,,,,
25-29,Man,United States of America,Doctoral degree,5-10 years,,,,
35-39,Man,Italy,Master’s degree,1-3 years,Currently not employed,,,
22-24,Man,Italy,Master’s degree,5-10 years,,,,
22-24,Woman,Indonesia,No formal education past high school,I have never written code,,,,
55-59,Man,Colombia,Master’s degree,10-20 years,Data Scientist,Retail/Sales,0-49 employees,"50,000-59,999"
35-39,Man,Brazil,Master’s degree,5-10 years,,,,
35-39,Man,Turkey,Master’s degree,5-10 years,Engineer (non-software),Manufacturing/Fabrication,"10,000 or more employees","30,000-39,999"
45-49,Man,India,Master’s degree,10-20 years,Software Engineer,Accounting/Finance,"1000-9,999 employees","30,000-39,999"
22-24,Man,Kenya,Bachelor’s degree,3-5 years,,,,
22-24,Man,Japan,Bachelor’s degree,1-3 years,,,,
40-44,Man,Spain,Doctoral degree,10-20 years,Other,Computers/Technology,"10,000 or more employees","150,000-199,999"
22-24,Man,India,Bachelor’s degree,1-3 years,,,,
18-21,Man,"Iran, Islamic Republic of...",Master’s degree,1-3 years,,,,
25-29,Man,India,Bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,"10,000 or more employees","3,000-3,999"
40-44,Man,Cameroon,Professional doctorate,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Other,0-49 employees,"7,500-9,999"
45-49,Man,Brazil,Master’s degree,1-3 years,,,,
22-24,Man,United States of America,Master’s degree,5-10 years,,,,
18-21,Woman,Pakistan,No formal education past high school,< 1 years,,,,
25-29,Man,Brazil,Master’s degree,10-20 years,,,,
25-29,Man,Pakistan,Master’s degree,I have never written code,Statistician,Marketing/CRM,0-49 employees,
22-24,Man,India,I prefer not to answer,< 1 years,,,,
35-39,Man,Brazil,No formal education past high school,< 1 years,Data Scientist,Broadcasting/Communications,0-49 employees,
18-21,Man,India,Bachelor’s degree,< 1 years,,,,
22-24,Man,India,Bachelor’s degree,< 1 years,,,,
25-29,Woman,Israel,Bachelor’s degree,1-3 years,,,,
45-49,Woman,Spain,Master’s degree,< 1 years,Other,Other,0-49 employees,"50,000-59,999"
18-21,Man,China,Bachelor’s degree,3-5 years,,,,
30-34,Woman,India,Master’s degree,< 1 years,Teacher / professor,Academics/Education,0-49 employees,$0-999
18-21,Man,India,Bachelor’s degree,1-3 years,,,,
35-39,Woman,Nigeria,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Non-profit/Service,50-249 employees,$0-999
25-29,Man,Japan,Master’s degree,1-3 years,Software Engineer,Computers/Technology,"1000-9,999 employees","20,000-24,999"
30-34,Man,India,Bachelor’s degree,1-3 years,Data Scientist,Medical/Pharmaceutical,0-49 employees,"4,000-4,999"
25-29,Man,India,I prefer not to answer,I have never written code,,,,
30-34,Man,Turkey,Some college/university study without earning a bachelor’s degree,< 1 years,Machine Learning/ MLops Engineer,Other,0-49 employees,$0-999
50-54,Man,United States of America,Some college/university study without earning a bachelor’s degree,5-10 years,Data Engineer,Medical/Pharmaceutical,"10,000 or more employees","100,000-124,999"
35-39,Man,India,Master’s degree,10-20 years,Software Engineer,Computers/Technology,"1000-9,999 employees","3,000-3,999"
18-21,Woman,India,Bachelor’s degree,1-3 years,,,,
30-34,Man,Italy,Master’s degree,1-3 years,,,,
22-24,Man,Tunisia,Master’s degree,< 1 years,,,,
22-24,Woman,Other,Master’s degree,< 1 years,,,,
22-24,Man,United States of America,Bachelor’s degree,3-5 years,Currently not employed,,,
18-21,Man,Nigeria,Bachelor’s degree,3-5 years,,,,
40-44,Man,Peru,I prefer not to answer,1-3 years,,,,
45-49,Man,India,Doctoral degree,3-5 years,Teacher / professor,Academics/Education,50-249 employees,"2,000-2,999"
30-34,Woman,United States of America,Master’s degree,5-10 years,,,,
22-24,Man,India,Master’s degree,1-3 years,,,,
18-21,Woman,India,Bachelor’s degree,< 1 years,,,,
45-49,Man,South Korea,Doctoral degree,3-5 years,,,,
25-29,Woman,Germany,Bachelor’s degree,3-5 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,"10,000 or more employees",$0-999
35-39,Woman,India,I prefer not to answer,3-5 years,,,,
25-29,Woman,Colombia,I prefer not to answer,I have never written code,,,,
18-21,Man,India,Bachelor’s degree,< 1 years,,,,
18-21,Man,Pakistan,Some college/university study without earning a bachelor’s degree,< 1 years,,,,
18-21,Man,Russia,Bachelor’s degree,3-5 years,,,,
25-29,Man,Nepal,Master’s degree,3-5 years,,,,
35-39,Man,Other,Master’s degree,20+ years,Data Engineer,Accounting/Finance,"10,000 or more employees",
25-29,Man,India,Master’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Retail/Sales,"10,000 or more employees",$0-999
45-49,Man,Spain,Some college/university study without earning a bachelor’s degree,< 1 years,,,,
25-29,Man,United States of America,Master’s degree,3-5 years,,,,
25-29,Man,Morocco,Bachelor’s degree,1-3 years,,,,
30-34,Woman,India,I prefer not to answer,10-20 years,,,,
22-24,Man,Colombia,Bachelor’s degree,< 1 years,Currently not employed,,,
60-69,Man,Colombia,Master’s degree,5-10 years,Currently not employed,,,
25-29,Man,United States of America,Bachelor’s degree,3-5 years,Data Scientist,,,
45-49,Man,Japan,I prefer not to answer,20+ years,Teacher / professor,Academics/Education,50-249 employees,"80,000-89,999"
18-21,Man,United States of America,Bachelor’s degree,1-3 years,,,,
22-24,Man,India,Bachelor’s degree,< 1 years,,,,
18-21,Woman,Indonesia,Bachelor’s degree,I have never written code,,,,
25-29,Man,India,Bachelor’s degree,1-3 years,Software Engineer,Medical/Pharmaceutical,0-49 employees,"30,000-39,999"
25-29,Man,Nigeria,Bachelor’s degree,< 1 years,,,,
18-21,Woman,India,I prefer not to answer,1-3 years,,,,
35-39,Man,United States of America,Doctoral degree,10-20 years,"Manager (Program, Project, Operations, Executive-level, etc)",Online Service/Internet-based Services,50-249 employees,"250,000-299,999"
30-34,Man,Other,Doctoral degree,I have never written code,"Manager (Program, Project, Operations, Executive-level, etc)",Non-profit/Service,0-49 employees,"20,000-24,999"
22-24,Man,India,Master’s degree,5-10 years,Other,Computers/Technology,"1000-9,999 employees",$0-999
30-34,Man,India,No formal education past high school,3-5 years,Data Scientist,Insurance/Risk Assessment,"10,000 or more employees","3,000-3,999"
60-69,Man,Argentina,Master’s degree,20+ years,,,,
30-34,Man,United States of America,Master’s degree,3-5 years,Data Scientist,Academics/Education,"10,000 or more employees","80,000-89,999"
30-34,Man,China,Doctoral degree,1-3 years,,,,
45-49,Man,United States of America,Master’s degree,10-20 years,Teacher / professor,Academics/Education,"1000-9,999 employees","90,000-99,999"
22-24,Man,China,Master’s degree,1-3 years,,,,
22-24,Woman,India,Master’s degree,< 1 years,,,,
45-49,Man,United States of America,Master’s degree,20+ years,Data Scientist,Government/Public Service,"10,000 or more employees","150,000-199,999"
18-21,Man,Peru,Some college/university study without earning a bachelor’s degree,1-3 years,,,,
22-24,Man,Turkey,Bachelor’s degree,3-5 years,Data Engineer,Computers/Technology,0-49 employees,"30,000-39,999"
25-29,Man,India,Master’s degree,< 1 years,Teacher / professor,Academics/Education,"1000-9,999 employees","4,000-4,999"
35-39,Man,India,Doctoral degree,20+ years,,,,
18-21,Prefer not to say,India,Bachelor’s degree,1-3 years,,,,
25-29,Prefer not to say,India,Bachelor’s degree,I have never written code,Engineer (non-software),Non-profit/Service,0-49 employees,$0-999
18-21,Woman,India,Bachelor’s degree,< 1 years,,,,
25-29,Woman,South Africa,Some college/university study without earning a bachelor’s degree,I have never written code,,,,
45-49,Man,Japan,Master’s degree,1-3 years,Other,Computers/Technology,"10,000 or more employees","125,000-149,999"
22-24,Woman,Other,Bachelor’s degree,1-3 years,,,,
22-24,Man,Nigeria,Bachelor’s degree,3-5 years,,,,
22-24,Man,India,Bachelor’s degree,1-3 years,,,,
30-34,Woman,Turkey,Master’s degree,I have never written code,"Manager (Program, Project, Operations, Executive-level, etc)",Computers/Technology,"1000-9,999 employees","1,000-1,999"
22-24,Man,India,Bachelor’s degree,1-3 years,,,,
18-21,Man,India,Bachelor’s degree,< 1 years,,,,
25-29,Woman,Colombia,Master’s degree,I have never written code,,,,
18-21,Man,China,Master’s degree,3-5 years,,,,
25-29,Man,India,Master’s degree,3-5 years,,,,
18-21,Man,India,Bachelor’s degree,< 1 years,Engineer (non-software),Energy/Mining,"10,000 or more employees","3,000-3,999"
22-24,Man,India,,,,,,
22-24,Man,India,Master’s degree,3-5 years,,,,
30-34,Man,Canada,Master’s degree,< 1 years,,,,
22-24,Woman,India,Master’s degree,1-3 years,,,,
22-24,Man,Nepal,Master’s degree,1-3 years,,,,
25-29,Man,Taiwan,Master’s degree,1-3 years,,,,
45-49,Man,Other,Doctoral degree,20+ years,"Manager (Program, Project, Operations, Executive-level, etc)",Manufacturing/Fabrication,0-49 employees,
50-54,Man,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,20+ years,"Manager (Program, Project, Operations, Executive-level, etc)",Broadcasting/Communications,"10,000 or more employees","$500,000-999,999"
50-54,Man,Japan,Bachelor’s degree,1-3 years,Currently not employed,,,
18-21,Woman,India,Bachelor’s degree,1-3 years,,,,
45-49,Man,United States of America,Bachelor’s degree,20+ years,Data Engineer,Energy/Mining,0-49 employees,"150,000-199,999"
18-21,Prefer not to say,India,Bachelor’s degree,< 1 years,,,,
25-29,Man,Israel,Bachelor’s degree,< 1 years,,,,
50-54,Woman,India,Professional doctorate,20+ years,Teacher / professor,Academics/Education,"1000-9,999 employees","7,500-9,999"
35-39,Man,India,Professional doctorate,10-20 years,"Manager (Program, Project, Operations, Executive-level, etc)",Computers/Technology,"10,000 or more employees","70,000-79,999"
40-44,Man,United States of America,No formal education past high school,< 1 years,Currently not employed,,,
30-34,Man,Ethiopia,Master’s degree,1-3 years,Data Scientist,Accounting/Finance,"1000-9,999 employees","3,000-3,999"
30-34,Man,Other,Master’s degree,3-5 years,,,,
25-29,Woman,Canada,Master’s degree,3-5 years,,,,
40-44,Man,Argentina,Bachelor’s degree,10-20 years,,,,
30-34,Woman,Turkey,I prefer not to answer,5-10 years,Statistician,Energy/Mining,250-999 employees,"7,500-9,999"
30-34,Woman,Nigeria,Master’s degree,I have never written code,,,,
22-24,Man,Kenya,Master’s degree,< 1 years,,,,
22-24,Man,India,Bachelor’s degree,1-3 years,,,,
30-34,Woman,Tunisia,Master’s degree,< 1 years,Data Scientist,Academics/Education,50-249 employees,$0-999
18-21,Woman,India,Bachelor’s degree,< 1 years,,,,
35-39,Man,Colombia,Master’s degree,20+ years,,,,
25-29,Man,Philippines,I prefer not to answer,1-3 years,Data Scientist,Accounting/Finance,0-49 employees,"10,000-14,999"
22-24,Man,India,Master’s degree,1-3 years,,,,
22-24,Woman,India,Bachelor’s degree,1-3 years,,,,
25-29,Man,Japan,Bachelor’s degree,1-3 years,,,,
45-49,Woman,Egypt,Doctoral degree,10-20 years,Data Administrator,Computers/Technology,50-249 employees,"10,000-14,999"
25-29,Man,India,Master’s degree,< 1 years,,,,
30-34,Man,Other,Master’s degree,1-3 years,,,,
40-44,Man,Chile,Some college/university study without earning a bachelor’s degree,< 1 years,Engineer (non-software),Other,0-49 employees,$0-999
40-44,Man,Brazil,Master’s degree,10-20 years,Software Engineer,Medical/Pharmaceutical,250-999 employees,
25-29,Man,India,Master’s degree,< 1 years,,,,
25-29,Man,India,Bachelor’s degree,1-3 years,Data Scientist,Medical/Pharmaceutical,"10,000 or more employees","7,500-9,999"
35-39,Man,Brazil,Master’s degree,5-10 years,Data Scientist,Medical/Pharmaceutical,0-49 employees,"30,000-39,999"
50-54,Man,Colombia,No formal education past high school,I have never written code,Teacher / professor,Academics/Education,"10,000 or more employees","10,000-14,999"
50-54,Man,Ecuador,Doctoral degree,I have never written code,,,,
60-69,Man,Japan,I prefer not to answer,10-20 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Energy/Mining,0-49 employees,"15,000-19,999"
18-21,Man,India,Bachelor’s degree,< 1 years,,,,
50-54,Man,South Korea,I prefer not to answer,20+ years,"Manager (Program, Project, Operations, Executive-level, etc)",Computers/Technology,0-49 employees,"100,000-124,999"
25-29,Man,United States of America,Bachelor’s degree,5-10 years,,,,
25-29,Man,Nigeria,Master’s degree,1-3 years,Currently not employed,,,
25-29,Man,India,I prefer not to answer,< 1 years,,,,
22-24,Woman,Viet Nam,Bachelor’s degree,I have never written code,,,,
40-44,Woman,United States of America,Bachelor’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Other,250-999 employees,$0-999
35-39,Woman,United States of America,Master’s degree,< 1 years,Currently not employed,,,
22-24,Man,India,Bachelor’s degree,< 1 years,,,,
22-24,Man,India,Master’s degree,3-5 years,Software Engineer,Computers/Technology,"10,000 or more employees","5,000-7,499"
30-34,Man,Indonesia,Bachelor’s degree,5-10 years,Software Engineer,Shipping/Transportation,0-49 employees,"50,000-59,999"
18-21,Man,India,Bachelor’s degree,< 1 years,,,,
22-24,Man,India,Master’s degree,1-3 years,,,,
35-39,Man,Japan,Bachelor’s degree,< 1 years,,,,
18-21,Man,India,Bachelor’s degree,1-3 years,,,,
18-21,Man,India,Master’s degree,1-3 years,,,,
25-29,Man,India,Doctoral degree,< 1 years,,,,
35-39,Man,Japan,Bachelor’s degree,10-20 years,Data Scientist,Insurance/Risk Assessment,"10,000 or more employees","100,000-124,999"
55-59,Man,India,Bachelor’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Medical/Pharmaceutical,250-999 employees,"10,000-14,999"
25-29,Man,Canada,Doctoral degree,5-10 years,,,,
22-24,Woman,Pakistan,Master’s degree,1-3 years,,,,
30-34,Man,Chile,Master’s degree,3-5 years,,,,
18-21,Woman,India,I prefer not to answer,1-3 years,,,,
18-21,Man,India,Bachelor’s degree,3-5 years,,,,
50-54,Man,India,Master’s degree,< 1 years,Engineer (non-software),Manufacturing/Fabrication,"1000-9,999 employees","7,500-9,999"
45-49,Woman,India,Master’s degree,20+ years,Currently not employed,,,
35-39,Woman,Peru,Professional doctorate,1-3 years,Research Scientist,Academics/Education,"1000-9,999 employees","1,000-1,999"
22-24,Man,India,,,,,,
18-21,Man,India,Bachelor’s degree,3-5 years,,,,
22-24,Woman,India,Bachelor’s degree,1-3 years,,,,
22-24,Woman,Other,Master’s degree,3-5 years,Data Scientist,Online Service/Internet-based Services,50-249 employees,
45-49,Man,Thailand,Master’s degree,I have never written code,Teacher / professor,Marketing/CRM,"10,000 or more employees","50,000-59,999"
18-21,Man,India,Bachelor’s degree,3-5 years,,,,
25-29,Man,Egypt,Bachelor’s degree,1-3 years,Data Scientist,Other,0-49 employees,
40-44,Man,United Arab Emirates,Doctoral degree,10-20 years,,,,
18-21,Man,India,Bachelor’s degree,3-5 years,,,,
30-34,Man,Egypt,I prefer not to answer,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Retail/Sales,"10,000 or more employees",$0-999
22-24,Man,India,Bachelor’s degree,< 1 years,,,,
50-54,Man,Spain,Bachelor’s degree,1-3 years,Engineer (non-software),Government/Public Service,50-249 employees,"30,000-39,999"
18-21,Woman,India,Bachelor’s degree,1-3 years,,,,
45-49,Man,Colombia,,,,,,
40-44,Man,India,Master’s degree,< 1 years,Other,Retail/Sales,"1000-9,999 employees","20,000-24,999"
25-29,Man,Israel,Master’s degree,3-5 years,,,,
30-34,Man,India,Professional doctorate,5-10 years,,,,
25-29,Man,India,Bachelor’s degree,3-5 years,,,,
45-49,Man,United States of America,Master’s degree,I have never written code,,,,
18-21,Man,United States of America,Bachelor’s degree,< 1 years,Data Engineer,Retail/Sales,"1000-9,999 employees","60,000-69,999"
18-21,Man,India,Master’s degree,I have never written code,,,,
25-29,Man,Japan,Master’s degree,I have never written code,Other,Computers/Technology,"10,000 or more employees","40,000-49,999"
22-24,Man,India,Master’s degree,5-10 years,Software Engineer,Other,0-49 employees,"1,000-1,999"
25-29,Man,India,Bachelor’s degree,< 1 years,,,,
18-21,Man,Colombia,Some college/university study without earning a bachelor’s degree,I have never written code,,,,
30-34,Man,India,,,,,,
25-29,Man,Germany,Master’s degree,5-10 years,,,,
30-34,Man,Cameroon,Doctoral degree,3-5 years,Teacher / professor,Academics/Education,250-999 employees,"5,000-7,499"
30-34,Man,United States of America,Bachelor’s degree,< 1 years,,,,
22-24,Woman,Egypt,Bachelor’s degree,< 1 years,Data Scientist,Computers/Technology,250-999 employees,$0-999
22-24,Man,India,Bachelor’s degree,< 1 years,,,,
35-39,Woman,"Iran, Islamic Republic of...",Master’s degree,< 1 years,Research Scientist,Academics/Education,0-49 employees,$0-999
18-21,Man,India,Bachelor’s degree,< 1 years,,,,
22-24,Man,Bangladesh,Bachelor’s degree,3-5 years,,,,
18-21,Woman,India,I prefer not to answer,< 1 years,,,,
45-49,Woman,United States of America,Professional doctorate,5-10 years,Research Scientist,Non-profit/Service,0-49 employees,"100,000-124,999"
40-44,Man,United States of America,Bachelor’s degree,10-20 years,,,,
